epoch,abdomen,head,loss,lr,thorax,val_abdomen,val_head,val_loss,val_thorax
0,0.014913887716829777,0.008275122381746769,0.01013209018856287,1e-04,0.007207261864095926,0.0060465456917881966,0.003768019611015916,0.003962929360568523,0.002074222778901458
1,0.002922083018347621,0.0014010912273079157,0.0018857402028515935,1e-04,0.001334046246483922,0.003392472630366683,0.003966622054576874,0.0026836954057216644,0.0006919923471286893
2,0.0020087072625756264,0.0009269040310755372,0.0011833773460239172,1e-04,0.0006145213264971972,0.004854458384215832,0.0035190933849662542,0.0029085655696690083,0.0003521442413330078
3,0.0012189436238259077,0.0006508366204798222,0.0007502388907596469,1e-04,0.00038093666080385447,0.00444174325093627,0.003194234101101756,0.0026235226541757584,0.00023459093063138425
4,0.0008174884133040905,0.0005232716794125736,0.0005509062320925295,1e-04,0.0003119588945992291,0.004451804794371128,0.002606472931802273,0.0024204663932323456,0.00020312139531597495
5,0.0004969623405486345,0.00037286002770997584,0.00034582344233058393,1e-04,0.00016764803149271756,0.0055314237251877785,0.0027256952598690987,0.0027960059233009815,0.00013089904678054154
6,0.000396447692764923,0.00030158821027725935,0.00028407995705492795,1e-04,0.00015420408453792334,0.00448504276573658,0.0023747244849801064,0.002364466432482004,0.00023363129002973437
7,0.0003860545693896711,0.0002458724193274975,0.00028168840799480677,1e-04,0.00021313819161150604,0.004734818357974291,0.0017893612384796143,0.002256132662296295,0.0002442196710035205
8,0.0002950795169454068,0.00021954881958663464,0.00020943280833307654,1e-04,0.00011367024126229808,0.004565093666315079,0.002517597284168005,0.0024464742746204138,0.0002567318733781576
9,0.00018389924662187696,0.0001533145987195894,0.0001342485920758918,1e-04,6.553193088620901e-05,0.004171811509877443,0.0018727736314758658,0.002068013185635209,0.0001594548812136054
10,0.0001901248615467921,0.00013972853776067495,0.00013041803322266787,1e-04,6.140067125670612e-05,0.004810112528502941,0.0021017161197960377,0.002340781968086958,0.00011051662295358256
11,0.00017994428344536573,0.00013202757691033185,0.00011875210475409403,1e-04,4.4284362957114354e-05,0.005114847794175148,0.002071010647341609,0.0024219262413680553,7.992029713932425e-05
12,9.868994675343856e-05,8.421266102232039e-05,7.441825437126681e-05,1e-04,4.03522644774057e-05,0.004874878562986851,0.0015447742771357298,0.002188123296946287,0.00014471786562353373
13,8.794130553724244e-05,8.111842180369422e-05,7.044993981253356e-05,1e-04,4.229010301060043e-05,0.004613471683114767,0.0016549053834751248,0.002131664426997304,0.00012661574874073267
14,8.770662680035457e-05,6.843153823865578e-05,6.113501149229705e-05,1e-04,2.726690399867948e-05,0.005154730752110481,0.0016911083366721869,0.0023218486458063126,0.00011970729974564165
15,4.981327219866216e-05,4.6416578697972e-05,3.8739042793167755e-05,5e-05,1.9987268387922086e-05,0.005252279806882143,0.0021789351012557745,0.0025173574686050415,0.00012085699563613161
16,3.721925168065354e-05,3.6851783079328015e-05,3.0267241527326405e-05,5e-05,1.6730667994124815e-05,0.00489541981369257,0.0015864878660067916,0.0022027650848031044,0.0001263883023057133
17,3.600752097554505e-05,3.6326317058410496e-05,2.9325792638701387e-05,5e-05,1.5643498045392334e-05,0.005248594097793102,0.0019492445280775428,0.0024419226683676243,0.00012792924826499075
18,3.1929663236951455e-05,3.234361429349519e-05,2.6518842787481844e-05,5e-05,1.5283198081306182e-05,0.004789610859006643,0.0014179686550050974,0.0021045091561973095,0.00010594840568955988
19,3.1241568649420515e-05,3.176526661263779e-05,2.579946340119932e-05,5e-05,1.4391539480129723e-05,0.00482741417363286,0.0017760097980499268,0.002243806840851903,0.00012799660908058286
